cell_id,region,cx,cy,cz,nx,ny,nz,ux,uy,uz,vx,vy,vz
362,top,-0.18314,1.46981,0.57911,-0.04922,0.26954,0.96173,0.99879,0.01328,0.0474,0.0,0.9629,-0.26987
363,top,-0.07039,-1.46186,0.46579,-0.10731,-0.54138,0.8339,0.99423,-0.05843,0.09001,0.0,0.83874,0.54453
364,top,-0.06264,-1.385,0.5357,-0.05437,-0.34789,0.93596,0.99852,-0.01894,0.05096,0.0,0.93734,0.34841
365,top,-0.06172,-1.26221,0.58867,-0.03599,-0.30279,0.95238,0.99935,-0.01091,0.0343,-0.0,0.95299,0.30299
366,top,-0.06303,-1.14429,0.6247,-0.03128,-0.25139,0.96738,0.99951,-0.00787,0.03028,0.0,0.96785,0.25151
367,top,-0.06314,-1.01897,0.64809,-0.02143,-0.15293,0.988,0.99977,-0.00328,0.02118,0.0,0.98823,0.15297
368,top,-0.06308,-0.90215,0.666,-0.00784,-0.13363,0.991,0.99997,-0.00105,0.00777,0.0,0.99103,0.13363
369,top,-0.06358,-0.7837,0.67731,-0.02059,-0.07677,0.99684,0.99979,-0.00158,0.02053,-0.0,0.99705,0.07679
370,top,-0.06449,-0.66094,0.68575,-0.03177,-0.03613,0.99884,0.9995,-0.00115,0.03175,-0.0,0.99935,0.03615
371,top,-0.06346,-0.53707,0.68592,-0.03112,0.00806,0.99948,0.99952,0.00025,0.03112,0.0,0.99997,-0.00807
372,top,-0.06559,-0.45168,0.68566,-0.02034,-0.00648,0.99977,0.99979,-0.00013,0.02034,0.0,0.99998,0.00648
373,top,-0.06159,0.18161,0.94384,0.00224,-0.16487,0.98631,1.0,0.00037,-0.00221,0.0,0.98631,0.16487
374,top,-0.0626,0.29978,0.95787,0.03155,-0.0678,0.9972,0.9995,0.00214,-0.03148,0.0,0.9977,0.06784
375,top,-0.0613,0.42101,0.96152,0.01803,0.01562,0.99972,0.99984,-0.00028,-0.01803,-0.0,0.99988,-0.01562
376,top,-0.05781,0.54198,0.95662,0.00765,0.05786,0.9983,0.99997,-0.00044,-0.00764,-0.0,0.99832,-0.05786
377,top,-0.06005,0.6576,0.94365,0.00651,0.14967,0.98871,0.99998,-0.00097,-0.00644,-0.0,0.98874,-0.14968
378,top,-0.06125,0.76772,0.92474,-0.00543,0.21745,0.97606,0.99999,0.00118,0.0053,0.0,0.97607,-0.21746
379,top,-0.06379,1.41951,0.68098,-0.02875,0.02787,0.9992,0.99959,0.0008,0.02874,0.0,0.99961,-0.02788
380,top,-0.05842,1.47144,0.61802,-0.01339,0.25126,0.96783,0.99991,0.00336,0.01296,0.0,0.96791,-0.25129
381,top,0.06858,-1.46132,0.46645,0.11039,-0.5407,0.83394,0.99389,0.06005,-0.09262,0.0,0.83907,0.54403
382,top,0.05816,-1.38501,0.53613,0.05185,-0.34424,0.93745,0.99865,0.01787,-0.04867,0.0,0.93871,0.34471
383,top,0.05703,-1.26166,0.58894,0.03517,-0.3022,0.9526,0.99938,0.01063,-0.03352,0.0,0.95319,0.30238
384,top,0.0595,-1.14433,0.62472,0.0302,-0.25094,0.96753,0.99954,0.00758,-0.02924,0.0,0.96797,0.25106
385,top,0.05897,-1.01878,0.64813,0.02108,-0.1521,0.98814,0.99978,0.00321,-0.02083,-0.0,0.98836,0.15213
386,top,0.05922,-0.90197,0.66598,0.00851,-0.13291,0.99109,0.99996,0.00113,-0.00843,0.0,0.99113,0.13292
387,top,0.05872,-0.7838,0.67729,0.02033,-0.07695,0.99683,0.99979,0.00156,-0.02027,-0.0,0.99703,0.07696
